Language Pair,Finetuning Language Pair,Relative BLEU Change
sn-en,ha-en,-0.863909639825
so-en,ha-en,-0.877739725132
sq-en,ha-en,-0.809636224136
sr-en,ha-en,-0.905108736536
st-en,ha-en,-0.835039993382
su-en,ha-en,-0.852108105277
sv-en,ha-en,-0.5792121821
sw-en,ha-en,-0.86587050396
ta-en,ha-en,-0.938448507384
te-en,ha-en,-0.913505424109
tg-en,ha-en,-0.875370226232
th-en,ha-en,-0.847987944734
tl-en,ha-en,-0.824105217918
tr-en,ha-en,-0.878756865437
uk-en,ha-en,-0.827135336319
ur-en,ha-en,-0.857562961932
uz-en,ha-en,-0.893797515097
vi-en,ha-en,-0.748605627616
xh-en,ha-en,-0.931725495865
yi-en,ha-en,-0.771071395585
yo-en,ha-en,-0.843192399839
zh-en,ha-en,-0.802308280259
zu-en,ha-en,-0.904795922156
af-en,yo-en,-0.696626580372
am-en,yo-en,-0.910665253436
ar-en,yo-en,-0.897004916873
az-en,yo-en,-0.865178864888
be-en,yo-en,-0.839416224423
bg-en,yo-en,-0.668927764699
bn-en,yo-en,-0.898210194167
bs-en,yo-en,-0.893419012895
ca-en,yo-en,-0.616125638955
ceb-en,yo-en,-0.813794146793
co-en,yo-en,-0.844141768073
cs-en,yo-en,-0.885217440442
cy-en,yo-en,-0.90765823068
da-en,yo-en,-0.658909918231
de-en,yo-en,-0.591688955111
el-en,yo-en,-0.69112131932
eo-en,yo-en,-0.851335400078
es-en,yo-en,-0.485197607798
et-en,yo-en,-0.902351410558
eu-en,yo-en,-0.883178814021
fa-en,yo-en,-0.80236449509
fi-en,yo-en,-0.889546294199
fr-en,yo-en,-0.508307817454
fy-en,yo-en,-0.866966767674
ga-en,yo-en,-0.889405077912
gd-en,yo-en,-0.898127707958
gl-en,yo-en,-0.551679109474
gu-en,yo-en,-0.903807349286
ha-en,yo-en,-0.830241391822
haw-en,yo-en,-0.816357817659
hi-en,yo-en,-0.840391873419
hmn-en,yo-en,-0.788193047184
hr-en,yo-en,-0.896671784629
ht-en,yo-en,-0.87098039758
hu-en,yo-en,-0.873708461383
hy-en,yo-en,-0.866553757749
id-en,yo-en,-0.708380370157
ig-en,yo-en,-0.761754067243
is-en,yo-en,-0.844916092089
it-en,yo-en,-0.639791628516
iw-en,yo-en,-0.887309109789
ja-en,yo-en,-0.816120050574
jw-en,yo-en,-0.84439158778
ka-en,yo-en,-0.859501032553
kk-en,yo-en,-0.870466600747
km-en,yo-en,-0.772814136294
kn-en,yo-en,-0.941595355533
ko-en,yo-en,-0.779850375863
ku-en,yo-en,-0.821083994128
ky-en,yo-en,-0.877803960126
lb-en,yo-en,-0.784129368639
lo-en,yo-en,-0.751330978515
lt-en,yo-en,-0.913327323908
lv-en,yo-en,-0.910447207962
mg-en,yo-en,-0.795491983837
mi-en,yo-en,-0.782823152587
mk-en,yo-en,-0.71427208616
ml-en,yo-en,-0.947445597898
mn-en,yo-en,-0.840906825012
mr-en,yo-en,-0.917777693283
ms-en,yo-en,-0.698674225542
mt-en,yo-en,-0.900772555441
my-en,yo-en,-0.864353624702
ne-en,yo-en,-0.880377206743
nl-en,yo-en,-0.610300847396
no-en,yo-en,-0.652340408179
ny-en,yo-en,-0.758985452977
pa-en,yo-en,-0.895363116748
pl-en,yo-en,-0.892339245935
ps-en,yo-en,-0.912629436959
pt-en,yo-en,-0.550514248643
ro-en,yo-en,-0.647123525836
ru-en,yo-en,-0.667750738817
sd-en,yo-en,-0.926481333116
si-en,yo-en,-0.936902997348
sk-en,yo-en,-0.886436344984
sl-en,yo-en,-0.88507679351
sm-en,yo-en,-0.82312392332
sn-en,yo-en,-0.850605641975
so-en,yo-en,-0.873422922145
sq-en,yo-en,-0.820182525818
sr-en,yo-en,-0.821284976249
st-en,yo-en,-0.849179292402
su-en,yo-en,-0.809303672351
sv-en,yo-en,-0.584633500587
sw-en,yo-en,-0.854254458936
ta-en,yo-en,-0.938821550116
te-en,yo-en,-0.919547851344
tg-en,yo-en,-0.821782869952
th-en,yo-en,-0.761822360833
tl-en,yo-en,-0.824620882718
tr-en,yo-en,-0.924840155544
uk-en,yo-en,-0.788885889311
ur-en,yo-en,-0.87650677737
uz-en,yo-en,-0.901311257174
vi-en,yo-en,-0.692969970396
xh-en,yo-en,-0.920937525918
yi-en,yo-en,-0.777353354649
yo-en,yo-en,0.00745405965545
zh-en,yo-en,-0.629260388306
zu-en,yo-en,-0.894920616503
af-en,ru-en,-0.367233458395
am-en,ru-en,-0.682233643364
ar-en,ru-en,-0.660717104386
az-en,ru-en,-0.737449896129
be-en,ru-en,-0.575886361031
bg-en,ru-en,-0.493974716475
bn-en,ru-en,-0.675326049399
bs-en,ru-en,-0.304168435158
ca-en,ru-en,-0.335338929588
ceb-en,ru-en,-0.569318955251
co-en,ru-en,-0.51984341402
cs-en,ru-en,-0.252620067054
cy-en,ru-en,-0.535746618447
da-en,ru-en,-0.273267547272
de-en,ru-en,-0.271035204892
el-en,ru-en,-0.303628162691
eo-en,ru-en,-0.358356960351
es-en,ru-en,-0.270695694066
et-en,ru-en,-0.572446986583
eu-en,ru-en,-0.732999735944
fa-en,ru-en,-0.518175629875
fi-en,ru-en,-0.575664333316
fr-en,ru-en,-0.301181239003
fy-en,ru-en,-0.703755280847
ga-en,ru-en,-0.617227818581
gd-en,ru-en,-0.751569618746
gl-en,ru-en,-0.267435580529
gu-en,ru-en,-0.68481953981
ha-en,ru-en,-0.809646751121
haw-en,ru-en,-0.680830735014
hi-en,ru-en,-0.473033993838
hmn-en,ru-en,-0.417741071182
hr-en,ru-en,-0.314143848459
ht-en,ru-en,-0.491395794903
hu-en,ru-en,-0.541299782467
hy-en,ru-en,-0.657763954472
id-en,ru-en,-0.347691244731
ig-en,ru-en,-0.66901758989
is-en,ru-en,-0.445790422647
it-en,ru-en,-0.297031274597
iw-en,ru-en,-0.660741400419
ja-en,ru-en,-0.541328304211
jw-en,ru-en,-0.707109513139
ka-en,ru-en,-0.675310347401
kk-en,ru-en,-0.760343786737
km-en,ru-en,-0.453639834693
kn-en,ru-en,-0.75263449844
ko-en,ru-en,-0.528261622593
ku-en,ru-en,-0.812329826314
ky-en,ru-en,-0.818930048803
lb-en,ru-en,-0.516016373283
lo-en,ru-en,-0.668893512976
lt-en,ru-en,-0.444126665595
lv-en,ru-en,-0.368089525024
mg-en,ru-en,-0.663205029979
mi-en,ru-en,-0.593600681891
mk-en,ru-en,-0.592910916176
ml-en,ru-en,-0.808305567465
mn-en,ru-en,-0.802264399239
mr-en,ru-en,-0.611643475301
ms-en,ru-en,-0.371506677848
mt-en,ru-en,-0.32792027367
my-en,ru-en,-0.750788626855
ne-en,ru-en,-0.652993553066
nl-en,ru-en,-0.286149696802
no-en,ru-en,-0.257204612061
ny-en,ru-en,-0.678797635668
pa-en,ru-en,-0.677234229151
pl-en,ru-en,-0.28813905147
ps-en,ru-en,-0.745315881786
pt-en,ru-en,-0.246862251687
ro-en,ru-en,-0.335083206212
ru-en,ru-en,0.0216111897664
sd-en,ru-en,-0.942708628711
si-en,ru-en,-0.778714833696
sk-en,ru-en,-0.277761824891
sl-en,ru-en,-0.433245752184
sm-en,ru-en,-0.843195806778
sn-en,ru-en,-0.819502790395
so-en,ru-en,-0.797184929467
sq-en,ru-en,-0.409906805659
sr-en,ru-en,-0.607574542142
st-en,ru-en,-0.824498051236
su-en,ru-en,-0.634320976309
sv-en,ru-en,-0.254503827074
sw-en,ru-en,-0.643434423823
ta-en,ru-en,-0.793559100576
te-en,ru-en,-0.757432776697
tg-en,ru-en,-0.749165202927
th-en,ru-en,-0.434252859666
tl-en,ru-en,-0.40816847044
tr-en,ru-en,-0.769052477288
uk-en,ru-en,-0.44417288742
ur-en,ru-en,-0.745535416613
uz-en,ru-en,-0.802783385129
vi-en,ru-en,-0.403768270297
xh-en,ru-en,-0.618517640621
yi-en,ru-en,-0.473076443638
yo-en,ru-en,-0.653597795357
zh-en,ru-en,-0.419937518199
zu-en,ru-en,-0.585723269648
af-en,so-en,-0.746400123549
am-en,so-en,-0.920912061978
ar-en,so-en,-0.78962826752
az-en,so-en,-0.833671215909
be-en,so-en,-0.839793607577
bg-en,so-en,-0.644265447642
bn-en,so-en,-0.892147893391
bs-en,so-en,-0.821862689553
ca-en,so-en,-0.696321665243
ceb-en,so-en,-0.76102547502
co-en,so-en,-0.851395174049
cs-en,so-en,-0.813384194448
cy-en,so-en,-0.861306703048
da-en,so-en,-0.669675311257
de-en,so-en,-0.606621109984
el-en,so-en,-0.655891565547
eo-en,so-en,-0.845304890691
es-en,so-en,-0.588099164279
et-en,so-en,-0.8934125515
eu-en,so-en,-0.889845406409
fa-en,so-en,-0.789510580301
fi-en,so-en,-0.887009057712
fr-en,so-en,-0.622131590525
fy-en,so-en,-0.862036379815
ga-en,so-en,-0.852415155653
gd-en,so-en,-0.866863657594
gl-en,so-en,-0.619427865678
gu-en,so-en,-0.967559650648
ha-en,so-en,-0.832230118746
haw-en,so-en,-0.769145678592
hi-en,so-en,-0.880005263498
hmn-en,so-en,-0.687341472707
hr-en,so-en,-0.823625320445
ht-en,so-en,-0.873885774145
hu-en,so-en,-0.87167926526
hy-en,so-en,-0.847680876079
id-en,so-en,-0.726142111566
ig-en,so-en,-0.792050533151
is-en,so-en,-0.814385593308
it-en,so-en,-0.742155266195
iw-en,so-en,-0.818142489552
ja-en,so-en,-0.881628083372
jw-en,so-en,-0.842380903078
ka-en,so-en,-0.854184160004
kk-en,so-en,-0.859143940339
km-en,so-en,-0.778223079216
kn-en,so-en,-0.951495523105
ko-en,so-en,-0.764401922395
ku-en,so-en,-0.835749725891
ky-en,so-en,-0.861627339506
lb-en,so-en,-0.825753461391
lo-en,so-en,-0.765917969901
lt-en,so-en,-0.893559593901
lv-en,so-en,-0.881271158322
mg-en,so-en,-0.801893554078
mi-en,so-en,-0.787075299339
mk-en,so-en,-0.667585930767
ml-en,so-en,-0.948201194132
mn-en,so-en,-0.835200436759
mr-en,so-en,-0.942883250408
ms-en,so-en,-0.713765858856
mt-en,so-en,-0.854698345932
my-en,so-en,-0.8817295715
ne-en,so-en,-0.938211872542
nl-en,so-en,-0.690711485534
no-en,so-en,-0.657456556326
ny-en,so-en,-0.751830960757
pa-en,so-en,-0.969339517016
pl-en,so-en,-0.847673424225
ps-en,so-en,-0.892935437244
pt-en,so-en,-0.605228540051
ro-en,so-en,-0.762126251384
ru-en,so-en,-0.61998587782
sd-en,so-en,-0.940755593186
si-en,so-en,-0.914279354244
sk-en,so-en,-0.828035494801
sl-en,so-en,-0.851932976259
sm-en,so-en,-0.829277884412
sn-en,so-en,-0.862127575314
so-en,so-en,0.0556278601833
sq-en,so-en,-0.799584630171
sr-en,so-en,-0.848497155892
st-en,so-en,-0.828040272728
su-en,so-en,-0.823489669666
sv-en,so-en,-0.671984664833
sw-en,so-en,-0.851858211411
ta-en,so-en,-0.95051861348
te-en,so-en,-0.940954164646
tg-en,so-en,-0.845783220019
th-en,so-en,-0.738709831295
tl-en,so-en,-0.799926227331
tr-en,so-en,-0.900844614566
uk-en,so-en,-0.825820638288
ur-en,so-en,-0.930296884968
uz-en,so-en,-0.873610510971
vi-en,so-en,-0.701890387272
xh-en,so-en,-0.914846254493
yi-en,so-en,-0.789848738058
yo-en,so-en,-0.810039022032
zh-en,so-en,-0.693648784279
zu-en,so-en,-0.887944293644
af-en,ny-en,-0.74864398587
am-en,ny-en,-0.94709766739
ar-en,ny-en,-0.892280800721
az-en,ny-en,-0.882917478589
be-en,ny-en,-0.927250009761
bg-en,ny-en,-0.818038949764
bn-en,ny-en,-0.942209844128
bs-en,ny-en,-1.0
ca-en,ny-en,-0.742956342154
ceb-en,ny-en,-0.782945094631
co-en,ny-en,-0.858396702858
cs-en,ny-en,-0.875281797655
cy-en,ny-en,-0.899373097804
da-en,ny-en,-0.787286499614
de-en,ny-en,-0.754533865165
el-en,ny-en,-0.842049180728
eo-en,ny-en,-0.856070901544
es-en,ny-en,-0.652590541833
et-en,ny-en,-0.901207724015
eu-en,ny-en,-0.883243599726
fa-en,ny-en,-0.834524876992
fi-en,ny-en,-0.913173892772
fr-en,ny-en,-0.706946146728
fy-en,ny-en,-0.878556768367
ga-en,ny-en,-0.870217408452
gd-en,ny-en,-0.882538278447
gl-en,ny-en,-0.673237582711
gu-en,ny-en,-0.945755678736
ha-en,ny-en,-0.847335730352
haw-en,ny-en,-0.770610335118
hi-en,ny-en,-0.907565205481
hmn-en,ny-en,-1.0
hr-en,ny-en,-0.876896111681
ht-en,ny-en,-0.901879081516
hu-en,ny-en,-0.88065531079
hy-en,ny-en,-0.953638767492
id-en,ny-en,-0.755292538779
ig-en,ny-en,-0.755674116169
is-en,ny-en,-0.865871426529
it-en,ny-en,-0.795696199015
iw-en,ny-en,-0.944754019038
ja-en,ny-en,-0.893889108428
jw-en,ny-en,-0.848599560323
ka-en,ny-en,-0.906787328988
kk-en,ny-en,-0.924934306558
km-en,ny-en,-0.839441695704
kn-en,ny-en,-1.0
ko-en,ny-en,-0.865146066543
ku-en,ny-en,-1.0
ky-en,ny-en,-0.928592425489
lb-en,ny-en,-0.866772227992
lo-en,ny-en,-0.783211659316
lt-en,ny-en,-0.91716791558
lv-en,ny-en,-0.888763511399
mg-en,ny-en,-0.803265735379
mi-en,ny-en,-0.753918550212
mk-en,ny-en,-0.834750410096
ml-en,ny-en,-0.969631564853
mn-en,ny-en,-0.910865104279
mr-en,ny-en,-0.943038541757
ms-en,ny-en,-0.753380067098
mt-en,ny-en,-0.901861959401
my-en,ny-en,-0.908280551326
ne-en,ny-en,-0.918295612429
nl-en,ny-en,-0.710495204885
no-en,ny-en,-0.809999737099
ny-en,ny-en,-0.0830444915735
pa-en,ny-en,-0.943324462399
pl-en,ny-en,-0.902320826147
ps-en,ny-en,-0.954753260299
pt-en,ny-en,-0.660743867257
ro-en,ny-en,-0.826288510221
ru-en,ny-en,-0.833900712905
sd-en,ny-en,-1.0
si-en,ny-en,-0.960063599484
sk-en,ny-en,-0.881641413414
sl-en,ny-en,-0.877438877545
sm-en,ny-en,-0.821883065176
sn-en,ny-en,-0.755355631664
so-en,ny-en,-0.872846643325
sq-en,ny-en,-0.846932989426
sr-en,ny-en,-0.894190441138
st-en,ny-en,-0.816993937253
su-en,ny-en,-0.81952257994
sv-en,ny-en,-0.811503940936
sw-en,ny-en,-0.782609534935
ta-en,ny-en,-0.965397849634
te-en,ny-en,-0.949215121735
tg-en,ny-en,-1.0
th-en,ny-en,-0.78207331383
tl-en,ny-en,-0.814878575042
tr-en,ny-en,-0.927347603973
uk-en,ny-en,-0.910976015283
ur-en,ny-en,-0.929440369906
uz-en,ny-en,-0.900116106053
vi-en,ny-en,-0.766875519305
xh-en,ny-en,-0.883004730571
yi-en,ny-en,-0.899582383217
yo-en,ny-en,-0.837717492936
zh-en,ny-en,-0.76320457594
zu-en,ny-en,-0.852420079456
af-en,ca-en,-0.578260059248
am-en,ca-en,-0.656552451686
ar-en,ca-en,-0.261391304695
az-en,ca-en,-0.562883194461
be-en,ca-en,-0.377746520983
bg-en,ca-en,-0.23282520129
bn-en,ca-en,-0.723836120126
bs-en,ca-en,-0.731006850542
ca-en,ca-en,0.0269865058494
ceb-en,ca-en,-0.548459556563
co-en,ca-en,-0.748990898654
cs-en,ca-en,-0.612220223218
cy-en,ca-en,-0.765840278513
da-en,ca-en,-0.54778924199
de-en,ca-en,-0.325392153975
el-en,ca-en,-0.2770351451
eo-en,ca-en,-0.690921193791
es-en,ca-en,-0.150103998209
et-en,ca-en,-0.705992137443
eu-en,ca-en,-0.763588178908
fa-en,ca-en,-0.313676313393
fi-en,ca-en,-0.706996457871
fr-en,ca-en,-0.170193955947
fy-en,ca-en,-0.868597643154
ga-en,ca-en,-0.739940574253
gd-en,ca-en,-0.767885756357
gl-en,ca-en,-0.267799666536
gu-en,ca-en,-0.720948322688
ha-en,ca-en,-0.80989987559
haw-en,ca-en,-0.818152847997
hi-en,ca-en,-0.390361227697
hmn-en,ca-en,-0.50773181725
hr-en,ca-en,-0.737108504541
ht-en,ca-en,-0.802082049806
hu-en,ca-en,-0.788159820305
hy-en,ca-en,-0.483760065287
id-en,ca-en,-0.512900975822
ig-en,ca-en,-0.587893734189
is-en,ca-en,-0.555189209133
it-en,ca-en,-0.521103687376
iw-en,ca-en,-0.410783069496
ja-en,ca-en,-0.479097243902
jw-en,ca-en,-0.750012543283
ka-en,ca-en,-0.53403380773
kk-en,ca-en,-0.536474925243
km-en,ca-en,-0.335667094748
kn-en,ca-en,-0.851334206489
ko-en,ca-en,-0.475509102858
ku-en,ca-en,-0.855929155218
ky-en,ca-en,-0.700821487965
lb-en,ca-en,-0.727800644693
lo-en,ca-en,-0.457034220643
lt-en,ca-en,-0.669265099729
lv-en,ca-en,-0.731342429681
mg-en,ca-en,-0.752859952082
mi-en,ca-en,-0.755445128293
mk-en,ca-en,-0.241638105672
ml-en,ca-en,-0.916185476469
mn-en,ca-en,-0.61004752598
mr-en,ca-en,-0.625958335047
ms-en,ca-en,-0.529202096529
mt-en,ca-en,-0.622163859008
my-en,ca-en,-0.64874129651
ne-en,ca-en,-0.689657452175
nl-en,ca-en,-0.468495461325
no-en,ca-en,-0.589117555216
ny-en,ca-en,-0.738853930836
pa-en,ca-en,-0.600465688733
pl-en,ca-en,-0.675990466623
ps-en,ca-en,-0.643505625789
pt-en,ca-en,-0.208230325252
ro-en,ca-en,-0.476873093945
ru-en,ca-en,-0.254944090135
sd-en,ca-en,-0.694956277316
si-en,ca-en,-0.858772598393
sk-en,ca-en,-0.625801321898
sl-en,ca-en,-0.742794716276
sm-en,ca-en,-0.860238818769
sn-en,ca-en,-0.867430974922
so-en,ca-en,-0.79838877428
sq-en,ca-en,-0.446278867865
sr-en,ca-en,-0.612596251482
st-en,ca-en,-0.853678947754
su-en,ca-en,-0.695267123847
sv-en,ca-en,-0.541430585914
sw-en,ca-en,-0.752300621087
ta-en,ca-en,-0.885525915077
te-en,ca-en,-0.819461794951
tg-en,ca-en,-0.457273442274
th-en,ca-en,-0.331005199704
tl-en,ca-en,-0.462766857681
tr-en,ca-en,-0.653373038497
uk-en,ca-en,-0.313873930777
ur-en,ca-en,-0.474344134648
uz-en,ca-en,-0.85758510885
vi-en,ca-en,-0.359601506248
xh-en,ca-en,-0.883663770551
yi-en,ca-en,-0.308346823378
yo-en,ca-en,-0.797396522382
zh-en,ca-en,-0.348456548353
zu-en,ca-en,-0.828163511571
af-en,sr-en,-0.303549337347
am-en,sr-en,-0.68797485261
ar-en,sr-en,-0.380549529353
az-en,sr-en,-0.758150842541
be-en,sr-en,-0.27741921123
bg-en,sr-en,-0.127912128619
bn-en,sr-en,-0.663967837895
bs-en,sr-en,0.0467827912537
ca-en,sr-en,-0.328938532114
ceb-en,sr-en,-0.574345287401
co-en,sr-en,-0.680967582922
cs-en,sr-en,-0.338952076214
cy-en,sr-en,-0.389486642964
da-en,sr-en,-0.360506507077
de-en,sr-en,-0.532916553806
el-en,sr-en,-0.27387994434
eo-en,sr-en,-0.372572045376
es-en,sr-en,-0.351564626643
et-en,sr-en,-0.741435341013
eu-en,sr-en,-0.721100213907
fa-en,sr-en,-0.367771071023
fi-en,sr-en,-0.82112421082
fr-en,sr-en,-0.424636451987
fy-en,sr-en,-0.724906414364
ga-en,sr-en,-0.632718379377
gd-en,sr-en,-0.58700602136
gl-en,sr-en,-0.308108452687
gu-en,sr-en,-0.678418852362
ha-en,sr-en,-0.829184234429
haw-en,sr-en,-0.768917907317
hi-en,sr-en,-0.529126525997
hmn-en,sr-en,-0.606047696773
hr-en,sr-en,0.0482156715607
ht-en,sr-en,-0.785805869267
hu-en,sr-en,-0.718583808932
hy-en,sr-en,-0.729747527223
id-en,sr-en,-0.413282325506
ig-en,sr-en,-0.681930309169
is-en,sr-en,-0.582823828693
it-en,sr-en,-0.367947160162
iw-en,sr-en,-0.278635324234
ja-en,sr-en,-0.500771894403
jw-en,sr-en,-0.712510582707
ka-en,sr-en,-0.589922694458
kk-en,sr-en,-0.565418926794
km-en,sr-en,-0.491544131943
kn-en,sr-en,-0.637259974848
ko-en,sr-en,-0.401532149388
ku-en,sr-en,-0.861332504864
ky-en,sr-en,-1.0
lb-en,sr-en,-0.622839108911
lo-en,sr-en,-0.506098296479
lt-en,sr-en,-0.442125826197
lv-en,sr-en,-0.578118290228
mg-en,sr-en,-0.806804283427
mi-en,sr-en,-0.637911122718
mk-en,sr-en,-0.0580993220045
ml-en,sr-en,-0.901326084988
mn-en,sr-en,-0.826217136785
mr-en,sr-en,-0.767929026863
ms-en,sr-en,-0.449585506007
mt-en,sr-en,-0.438644524243
my-en,sr-en,-0.783443019296
ne-en,sr-en,-0.652372591487
nl-en,sr-en,-0.340124270001
no-en,sr-en,-0.390998215314
ny-en,sr-en,-0.772778114305
pa-en,sr-en,-0.7085764917
pl-en,sr-en,-0.543020563142
ps-en,sr-en,-0.604591807287
pt-en,sr-en,-0.29328417216
ro-en,sr-en,-0.30579321745
ru-en,sr-en,-0.614741131329
sd-en,sr-en,-0.831206177458
si-en,sr-en,-0.859763738703
sk-en,sr-en,-0.423109898145
sl-en,sr-en,-0.161191500648
sm-en,sr-en,-0.806806544512
sn-en,sr-en,-0.863434437839
so-en,sr-en,-0.658376650734
sq-en,sr-en,-0.532138636614
sr-en,sr-en,0.136948823923
st-en,sr-en,-0.86705354775
su-en,sr-en,-0.756983253531
sv-en,sr-en,-0.382870935709
sw-en,sr-en,-0.621539846349
ta-en,sr-en,-0.876001647288
te-en,sr-en,-0.66212714867
tg-en,sr-en,-0.639804169326
th-en,sr-en,-0.559085735952
tl-en,sr-en,-0.303845103192
tr-en,sr-en,-0.741603869277
uk-en,sr-en,-0.337583712382
ur-en,sr-en,-0.526849811011
uz-en,sr-en,-0.707056244254
vi-en,sr-en,-0.551120847136
xh-en,sr-en,-0.861492621998
yi-en,sr-en,-0.314292872702
yo-en,sr-en,-0.818581418426
zh-en,sr-en,-0.275724848641
zu-en,sr-en,-0.774242167071
af-en,ko-en,-0.235820471351
am-en,ko-en,-0.562119142932
ar-en,ko-en,-0.739868570544
az-en,ko-en,-0.481655176382
be-en,ko-en,-0.389112331587
bg-en,ko-en,-0.315009078773
bn-en,ko-en,-0.541395136052
bs-en,ko-en,-0.257555720843
ca-en,ko-en,-0.274298559708
ceb-en,ko-en,-0.558908295686
co-en,ko-en,-0.44622522239
cs-en,ko-en,-0.289310520533
cy-en,ko-en,-0.644031690678
da-en,ko-en,-0.28226710722
de-en,ko-en,-0.291191668215
el-en,ko-en,-0.389875898954
eo-en,ko-en,-0.265721053435
es-en,ko-en,-0.228424480467
et-en,ko-en,-0.576489836382
eu-en,ko-en,-0.630057110441
fa-en,ko-en,-0.531740904276
fi-en,ko-en,-0.524161939958
fr-en,ko-en,-0.272043383313
fy-en,ko-en,-0.631712698928
ga-en,ko-en,-0.574871759902
gd-en,ko-en,-0.744435957939
gl-en,ko-en,-0.190992306107
gu-en,ko-en,-0.433865173777
ha-en,ko-en,-0.806499573608
haw-en,ko-en,-0.671196690602
hi-en,ko-en,-0.309684108698
hmn-en,ko-en,-0.472028069405
hr-en,ko-en,-0.258890617222
ht-en,ko-en,-0.432174741884
hu-en,ko-en,-0.357191927471
hy-en,ko-en,-0.481518100745
id-en,ko-en,-0.379444291397
ig-en,ko-en,-0.592092513457
is-en,ko-en,-0.4226923559
it-en,ko-en,-0.26328040825
iw-en,ko-en,-0.759844345724
ja-en,ko-en,-0.239102758786
jw-en,ko-en,-0.700419454021
ka-en,ko-en,-0.446737167903
kk-en,ko-en,-0.464953633145
km-en,ko-en,-0.459863682066
kn-en,ko-en,-0.519520576602
ko-en,ko-en,0.100693134662
ku-en,ko-en,-0.812502239561
ky-en,ko-en,-0.716001649903
lb-en,ko-en,-0.511705044879
lo-en,ko-en,-0.498874473473
lt-en,ko-en,-0.503299973242
lv-en,ko-en,-0.401168149936
mg-en,ko-en,-0.695281493993
mi-en,ko-en,-0.562274166818
mk-en,ko-en,-0.278991325716
ml-en,ko-en,-0.770301627956
mn-en,ko-en,-0.423314362882
mr-en,ko-en,-0.492977938081
ms-en,ko-en,-0.408078484762
mt-en,ko-en,-0.363146685095
my-en,ko-en,-0.376320603461
ne-en,ko-en,-0.467880105849
nl-en,ko-en,-0.221159280328
no-en,ko-en,-0.256498347271
ny-en,ko-en,-0.65864201734
pa-en,ko-en,-0.550140064654
pl-en,ko-en,-0.323560536322
ps-en,ko-en,-0.691547336469
pt-en,ko-en,-0.208400751367
ro-en,ko-en,-0.301119426658
ru-en,ko-en,-0.303209153401
sd-en,ko-en,-0.884868623033
si-en,ko-en,-0.558207401458
sk-en,ko-en,-0.313349515443
sl-en,ko-en,-0.320325820821
sm-en,ko-en,-0.781861681518
sn-en,ko-en,-0.818850286127
so-en,ko-en,-0.769519925036
sq-en,ko-en,-0.339970037569
sr-en,ko-en,-0.569637621078
st-en,ko-en,-0.748356812071
su-en,ko-en,-0.653331746178
sv-en,ko-en,-0.22784171025
sw-en,ko-en,-0.658749370434
ta-en,ko-en,-0.584415535575
te-en,ko-en,-0.54729698502
tg-en,ko-en,-0.735392105789
th-en,ko-en,-0.621403088316
tl-en,ko-en,-0.411430306905
tr-en,ko-en,-0.501474284746
uk-en,ko-en,-0.315386409307
ur-en,ko-en,-0.542888574016
uz-en,ko-en,-0.636859345619
vi-en,ko-en,-0.398867372782
xh-en,ko-en,-0.738837952158
yi-en,ko-en,-0.393910113522
yo-en,ko-en,-0.703912419753
zh-en,ko-en,-0.326412449876
zu-en,ko-en,-0.684195884894
af-en,az-en,-0.162423611093
am-en,az-en,-0.227132513842
ar-en,az-en,-0.253239843597
az-en,az-en,0.0385524718545
be-en,az-en,-0.182405398878
bg-en,az-en,-0.144324871781
bn-en,az-en,-0.182094392626
bs-en,az-en,-0.137377116736
ca-en,az-en,-0.123130332752
ceb-en,az-en,-0.290521002197
co-en,az-en,-0.215853907283
cs-en,az-en,-0.141254671835
cy-en,az-en,-0.238662067171
da-en,az-en,-0.134007277586
de-en,az-en,-0.13101254799
el-en,az-en,-0.145339745925
eo-en,az-en,-0.151652193322
es-en,az-en,-0.110130724206
et-en,az-en,-0.465125072824
eu-en,az-en,-0.645391198879
fa-en,az-en,-0.215455632882
fi-en,az-en,-0.255521750941
fr-en,az-en,-0.112058982309
fy-en,az-en,-0.432459671958
ga-en,az-en,-0.322063227819
gd-en,az-en,-0.385169548974
gl-en,az-en,-0.0805790329773
gu-en,az-en,-0.189778790672
ha-en,az-en,-0.710434626083
haw-en,az-en,-0.340674131531
hi-en,az-en,-0.140661348643
hmn-en,az-en,-0.39019689645
hr-en,az-en,-0.141569424423
ht-en,az-en,-0.382360025738
hu-en,az-en,-0.389195360527
hy-en,az-en,-0.172709464243
id-en,az-en,-0.194357715837
ig-en,az-en,-0.521516621857
is-en,az-en,-0.285257711272
it-en,az-en,-0.129146439265
iw-en,az-en,-0.209959573356
ja-en,az-en,-0.154566904325
jw-en,az-en,-0.535510801194
ka-en,az-en,-0.149338495239
kk-en,az-en,-0.225068116037
km-en,az-en,-0.180385761269
kn-en,az-en,-0.200284788685
ko-en,az-en,-0.119256738864
ku-en,az-en,-0.675950840992
ky-en,az-en,-0.309514039231
lb-en,az-en,-0.238413706984
lo-en,az-en,-0.294282370229
lt-en,az-en,-0.200220228038
lv-en,az-en,-0.178854567498
mg-en,az-en,-0.373386088157
mi-en,az-en,-0.475952301955
mk-en,az-en,-0.135435147079
ml-en,az-en,-0.245849478646
mn-en,az-en,-0.339658951361
mr-en,az-en,-0.181801801115
ms-en,az-en,-0.216185461052
mt-en,az-en,-0.278291372279
my-en,az-en,-0.211150917836
ne-en,az-en,-0.209435100428
nl-en,az-en,-0.140903601262
