Language Pair,Finetuning Language Pair,Relative BLEU Change
mn-en,km-en,-0.862412429396
mr-en,km-en,-0.941215322206
ms-en,km-en,-0.608572043053
mt-en,km-en,-0.784167749695
my-en,km-en,-0.758776642455
ne-en,km-en,-0.918234258868
nl-en,km-en,-0.466024208499
no-en,km-en,-0.486925073796
ny-en,km-en,-0.752468446566
pa-en,km-en,-0.926680982162
pl-en,km-en,-0.763467260346
ps-en,km-en,-0.870188978021
pt-en,km-en,-0.397219546803
ro-en,km-en,-0.505343516531
ru-en,km-en,-0.563715786139
sd-en,km-en,-0.941465793308
si-en,km-en,-0.934931884824
sk-en,km-en,-0.729569131151
sl-en,km-en,-0.727359119157
sm-en,km-en,-0.77725721382
sn-en,km-en,-0.878617560366
so-en,km-en,-0.825119383145
sq-en,km-en,-0.742202691719
sr-en,km-en,-0.799276291856
st-en,km-en,-0.805712027778
su-en,km-en,-0.790419592899
sv-en,km-en,-0.482962747057
sw-en,km-en,-0.796113539774
ta-en,km-en,-0.950887440212
te-en,km-en,-0.936998510098
tg-en,km-en,-0.832806762505
th-en,km-en,-0.326444580614
tl-en,km-en,-0.711538380809
tr-en,km-en,-0.829342340939
uk-en,km-en,-0.711692737246
ur-en,km-en,-0.896621594068
uz-en,km-en,-0.843259244124
vi-en,km-en,-0.553060443341
xh-en,km-en,-0.886592504257
yi-en,km-en,-0.695634811233
yo-en,km-en,-0.779630511927
zh-en,km-en,-0.502417673374
zu-en,km-en,-0.861091922549
af-en,ig-en,-0.708604732408
am-en,ig-en,-0.949870836765
ar-en,ig-en,-0.907232667785
az-en,ig-en,-0.818105972223
be-en,ig-en,-0.904528991141
bg-en,ig-en,-0.747571830203
bn-en,ig-en,-0.936409700511
bs-en,ig-en,-0.903978834626
ca-en,ig-en,-0.614347066571
ceb-en,ig-en,-0.787596404124
co-en,ig-en,-0.780699470067
cs-en,ig-en,-0.903030016462
cy-en,ig-en,-0.911440003647
da-en,ig-en,-0.830948428614
de-en,ig-en,-0.598841668342
el-en,ig-en,-0.762558976501
eo-en,ig-en,-0.859747681859
es-en,ig-en,-0.502767993695
et-en,ig-en,-0.896758218396
eu-en,ig-en,-0.873037107603
fa-en,ig-en,-0.756479150864
fi-en,ig-en,-0.896210557374
fr-en,ig-en,-0.564393027707
fy-en,ig-en,-0.876073009167
ga-en,ig-en,-0.890922113426
gd-en,ig-en,-0.897513566242
gl-en,ig-en,-0.546363768145
gu-en,ig-en,-0.935687852003
ha-en,ig-en,-0.837445104375
haw-en,ig-en,-0.730287076707
hi-en,ig-en,-0.884350425615
hmn-en,ig-en,-0.757957819479
hr-en,ig-en,-0.906870349098
ht-en,ig-en,-0.89286137165
hu-en,ig-en,-0.861614706608
hy-en,ig-en,-0.887582770832
id-en,ig-en,-0.752027009385
ig-en,ig-en,-0.0502862798486
is-en,ig-en,-0.840958732772
it-en,ig-en,-0.585353138701
iw-en,ig-en,-0.933241329306
ja-en,ig-en,-0.790985964646
jw-en,ig-en,-0.844818333738
ka-en,ig-en,-0.886363158632
kk-en,ig-en,-0.841689331887
km-en,ig-en,-0.835574257272
kn-en,ig-en,-0.948298274884
ko-en,ig-en,-0.787818235587
ku-en,ig-en,-0.834592368244
ky-en,ig-en,-0.856764711739
lb-en,ig-en,-0.820371530015
lo-en,ig-en,-0.770611229233
lt-en,ig-en,-0.899694223382
lv-en,ig-en,-0.883153878819
mg-en,ig-en,-0.793396524775
mi-en,ig-en,-0.737638914809
mk-en,ig-en,-0.774779576783
ml-en,ig-en,-0.970282953433
mn-en,ig-en,-0.851003894427
mr-en,ig-en,-0.954479997816
ms-en,ig-en,-0.738989621479
mt-en,ig-en,-0.895849334424
my-en,ig-en,-0.866247353511
ne-en,ig-en,-0.919960220608
nl-en,ig-en,-0.655538630613
no-en,ig-en,-0.802715272815
ny-en,ig-en,-0.759699160285
pa-en,ig-en,-0.937915688336
pl-en,ig-en,-0.908182409766
ps-en,ig-en,-0.925521980721
pt-en,ig-en,-0.546593786875
ro-en,ig-en,-0.668461036494
ru-en,ig-en,-0.779502192213
sd-en,ig-en,-0.943292014621
si-en,ig-en,-0.966119192965
sk-en,ig-en,-0.903631456533
sl-en,ig-en,-0.897711528316
sm-en,ig-en,-0.810869207097
sn-en,ig-en,-0.837348186073
so-en,ig-en,-0.864740146441
sq-en,ig-en,-0.837096214288
sr-en,ig-en,-0.901602670678
st-en,ig-en,-0.847574408301
su-en,ig-en,-0.811592890584
sv-en,ig-en,-0.626145253126
sw-en,ig-en,-0.841799047237
ta-en,ig-en,-0.957711888719
te-en,ig-en,-0.934456288944
tg-en,ig-en,-0.837909782059
th-en,ig-en,-0.749535511651
tl-en,ig-en,-0.855110752424
tr-en,ig-en,-0.867575455598
uk-en,ig-en,-0.891568840417
ur-en,ig-en,-0.90354207427
uz-en,ig-en,-0.889007115579
vi-en,ig-en,-0.712149361097
xh-en,ig-en,-0.907061344729
yi-en,ig-en,-0.814055747674
yo-en,ig-en,-0.801844629226
zh-en,ig-en,-0.663551235574
zu-en,ig-en,-0.879885933878
af-en,uk-en,-0.306870695281
am-en,uk-en,-0.830920017678
ar-en,uk-en,-0.786825944888
az-en,uk-en,-0.642047191239
be-en,uk-en,-0.373028998419
bg-en,uk-en,-0.44454269136
bn-en,uk-en,-0.734992907788
bs-en,uk-en,-0.249225051107
ca-en,uk-en,-0.294862588298
ceb-en,uk-en,-0.497000896089
co-en,uk-en,-0.507481443605
cs-en,uk-en,-0.202210185263
cy-en,uk-en,-0.567945831575
da-en,uk-en,-0.21599579692
de-en,uk-en,-0.270342056723
el-en,uk-en,-0.284943605594
eo-en,uk-en,-0.268336940816
es-en,uk-en,-0.203544288543
et-en,uk-en,-0.618997278699
eu-en,uk-en,-0.604756663265
fa-en,uk-en,-0.577247166622
fi-en,uk-en,-0.517529412813
fr-en,uk-en,-0.216622305918
fy-en,uk-en,-0.625474524291
ga-en,uk-en,-0.604434681937
gd-en,uk-en,-0.695155875297
gl-en,uk-en,-0.18076474362
gu-en,uk-en,-0.643794379246
ha-en,uk-en,-0.66979652559
haw-en,uk-en,-0.694408267687
hi-en,uk-en,-0.517467975472
hmn-en,uk-en,-0.46495455161
hr-en,uk-en,-0.257266581759
ht-en,uk-en,-0.422422112242
hu-en,uk-en,-0.408606894814
hy-en,uk-en,-0.562149208564
id-en,uk-en,-0.380220018884
ig-en,uk-en,-0.592887599603
is-en,uk-en,-0.470507831464
it-en,uk-en,-0.286577532934
iw-en,uk-en,-0.687748310081
ja-en,uk-en,-0.553906038239
jw-en,uk-en,-0.697581847419
ka-en,uk-en,-0.535503196489
kk-en,uk-en,-0.80019593925
km-en,uk-en,-0.497139961097
